country,n,mean,pct7plus
Romania,25,6.67,20.0
Morocco,98,6.63,20.4
Belgium,166,6.47,12.7
South Africa,43,6.45,9.3
Greece,215,6.39,5.6
Indonesia,123,6.38,10.6
Italy,1066,6.35,8.7
Japan,137,6.34,10.2
United States,453,6.31,7.9
Ireland,145,6.31,6.9
Germany,338,6.30,3.3
United Kingdom,673,6.29,4.5
Thailand,68,6.29,7.4
Denmark,101,6.26,6.9
Vietnam,77,6.26,0.0
New Zealand,48,6.26,8.3
Netherlands,95,6.25,4.2
Peru,46,6.24,4.3
Canada,157,6.24,6.4
Norway,29,6.24,0.0
Sweden,52,6.23,3.8
Austria,179,6.22,6.1
France,373,6.22,7.0
Portugal,202,6.21,3.5
Hungary,83,6.21,1.2
Slovenia,52,6.17,1.9
Iceland,78,6.17,3.8
Switzerland,153,6.16,3.9
Croatia,108,6.16,2.8
Poland,58,6.14,5.2
Czechia,121,6.13,2.5
Luxembourg,62,6.12,4.8
Turkey,57,6.11,7.0
Spain,276,6.10,5.1
India,42,6.10,2.4
Estonia,27,6.05,3.7
Finland,36,6.04,2.8
Australia,68,5.91,2.9
